State,Latitude,Longitude,STATEFP,ABB,NS6,SO6,ME6,HE6,NS7,SO7,ME7,HE7,NS8,SO8,ME8,HE8,NS9,SO9,ME9,HE9,NS10,SO10,ME10,HE10,NS11,SO11,ME11,HE11,NS12,SO12,ME12,HE12,NS13,SO13,ME13,HE13,NS14,SO14,ME14,HE14,NS15,SO15,ME15,HE15,NS16,SO16,ME16,HE16,NS17,SO17,ME17,HE17,NS18,SO18,ME18,HE18
Alabama,32.806671,-86.79113,1,AL,49,22,65,0,66,21,86,0,73,19,101,0,92,31,88,12,82,34,78,0,92,19,63,14,62,16,55,35,65,30,41,40,90,47,44,122,87,70,40,111,94,157,34,126,141,198,30,125,126,147,32,137
Alaska,61.370716,-152.404419,2,AK,14,0,11,0,0,0,0,0,51,13,30,0,60,22,21,0,38,10,25,0,36,0,17,12,42,0,10,23,38,12,0,24,40,14,12,25,51,14,10,37,45,0,13,49,47,37,0,36,34,18,0,29
Arizona,33.729759,-111.431221,4,AZ,187,54,88,52,218,38,81,51,255,49,89,63,312,55,105,84,327,68,106,90,313,40,55,117,326,36,50,101,253,52,64,146,290,57,62,197,298,72,75,247,326,123,75,299,349,267,83,334,311,522,62,352
Arkansas,34.969704,-92.373123,5,AR,68,31,70,0,87,27,63,0,110,43,89,0,124,59,70,0,118,57,56,0,114,29,56,0,118,20,43,0,111,31,42,0,119,32,29,0,144,44,37,0,114,38,32,13,116,68,17,15,108,92,16,19
California,36.116203,-119.681564,6,CA,820,154,276,274,917,138,312,291,1082,155,337,325,1147,201,426,352,1063,205,456,326,1167,164,406,364,965,146,342,362,1039,176,343,486,1047,194,337,561,1019,229,291,593,955,355,281,587,973,536,253,715,910,865,234,778
Colorado,39.059811,-105.311104,8,CO,123,27,62,39,185,44,58,39,176,39,48,48,170,68,57,70,135,58,48,46,198,78,61,79,223,52,43,91,221,67,41,120,259,80,51,156,259,64,34,159,212,72,58,234,254,112,58,224,222,134,55,233
Connecticut,41.597782,-72.755371,9,CT,38,11,59,87,33,22,57,118,38,16,47,109,31,20,42,99,41,22,43,77,44,13,32,85,38,15,24,98,144,53,49,227,157,94,50,299,183,211,72,390,206,500,72,450,188,686,95,425,161,767,76,338
Delaware,39.318523,-75.507141,10,DE,13,12,13,0,12,0,18,10,29,0,18,0,41,19,21,0,47,14,20,16,64,13,23,15,37,17,11,20,35,22,21,39,38,29,24,54,36,38,14,64,31,79,11,56,64,178,15,121,62,296,24,143
District of Columbia,38.897438,-77.026817,11,DC,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,11,23,13,0,0,25,10,0,0,35,19,13,0,37,21,26,0,67,52,129,21,122,39,182,24,127,32,162,10,79
Florida,27.766279,-81.686783,12,FL,583,131,516,87,769,137,568,78,858,132,463,108,1011,171,471,96,1169,146,439,51,1062,138,458,62,850,162,337,101,751,200,271,181,697,343,227,344,789,610,210,567,1030,1566,203,669,1133,2126,175,707,1150,2091,187,689
Georgia,33.040619,-83.643074,13,GA,130,57,137,0,139,65,168,11,193,57,138,23,252,83,165,21,305,103,150,10,327,86,141,30,300,61,161,40,309,80,110,67,388,174,124,153,435,284,115,222,455,277,115,226,513,419,83,263,395,349,84,299
Hawaii,21.094318,-157.498337,15,HI,30,0,19,0,49,0,20,0,34,0,10,0,35,0,20,0,40,0,14,0,47,0,19,0,35,0,16,0,39,0,17,10,35,0,10,12,37,13,0,15,44,0,15,20,33,0,0,10,27,14,0,16
Idaho,44.240459,-114.478828,16,ID,30,0,35,0,32,10,23,0,47,0,18,0,35,11,16,0,42,14,26,0,45,0,22,0,33,11,12,0,51,14,11,0,42,13,18,11,51,16,12,16,64,20,15,25,55,22,14,23,68,28,10,29
Illinois,40.349457,-88.986137,17,IL,107,375,91,63,144,101,98,63,178,83,83,107,195,111,88,116,175,115,79,150,165,86,84,168,175,84,105,269,185,87,92,583,253,127,106,711,271,278,99,844,378,907,123,1040,494,1251,155,1187,407,1568,155,1050
Indiana,39.849426,-86.258278,18,IN,49,48,49,0,81,51,79,18,109,54,84,56,148,64,80,63,140,49,62,56,173,40,57,68,136,43,46,114,111,34,34,160,149,83,37,173,146,120,36,240,231,304,34,297,390,649,49,327,323,713,55,311
Iowa,42.011539,-93.210526,19,IA,51,16,22,0,53,18,37,0,78,25,27,10,83,35,31,0,75,43,39,0,88,29,37,14,100,36,41,14,106,32,24,31,81,29,16,37,75,44,24,45,82,58,13,47,95,92,16,61,54,80,10,37
Kansas,38.5266,-96.726486,20,KS,62,19,44,0,57,19,45,0,48,18,22,0,60,35,45,11,52,18,27,0,70,23,27,0,88,44,33,16,88,37,30,12,91,39,34,19,74,36,26,21,83,27,10,32,74,32,17,25,73,50,14,33
Kentucky,37.66814,-84.670067,21,KY,169,50,170,0,184,37,155,0,229,44,126,12,290,65,92,23,436,53,118,37,469,76,103,55,391,70,79,143,349,76,70,215,344,179,59,228,382,323,60,310,403,465,48,311,399,780,49,269,290,744,37,140
Louisiana,31.169546,-91.867805,22,LA,61,14,117,14,88,21,106,0,59,10,47,14,57,16,19,11,68,21,18,14,58,20,14,17,75,19,26,51,86,26,20,121,93,29,20,107,108,38,16,126,111,89,16,149,161,156,10,162,135,216,16,167
Maine,44.693947,-69.381927,23,ME,41,0,47,0,53,0,45,0,46,15,50,0,75,16,40,0,52,21,36,0,40,19,32,0,61,15,25,12,64,23,34,16,80,62,29,38,102,116,36,52,132,199,37,55,75,278,30,76,56,229,18,71
Maryland,39.063946,-76.802101,24,MD,109,53,178,111,132,35,201,129,173,35,154,105,192,52,136,156,205,51,172,94,238,56,167,103,258,52,170,173,304,93,138,217,388,230,153,313,398,357,182,405,666,1091,197,650,524,1542,241,522,425,1825,187,356
Massachusetts,42.230171,-71.530106,25,MA,153,88,148,37,170,74,125,68,141,54,80,58,153,63,116,61,170,68,83,68,168,64,68,144,171,67,86,246,179,98,94,288,178,453,88,469,225,949,82,634,267,1550,95,630,254,1649,79,466,253,1806,88,475
Michigan,43.326618,-84.536095,26,MI,169,199,148,149,182,71,153,114,222,73,150,216,212,93,179,250,244,85,158,215,221,89,147,267,274,72,130,263,283,86,163,421,328,178,146,525,380,457,171,646,560,921,149,727,510,1368,148,783,442,1531,134,633
Minnesota,45.694454,-93.900192,27,MN,55,28,53,0,81,25,55,0,90,32,60,0,110,39,78,16,100,37,62,16,100,31,58,44,108,40,67,46,111,33,76,92,102,44,81,100,125,55,55,115,137,99,67,149,150,184,50,111,105,202,44,93
Mississippi,32.741646,-89.678696,28,MS,27,11,22,0,45,22,31,0,58,34,15,0,44,31,18,0,53,25,21,0,48,18,14,0,61,20,22,0,55,24,12,10,63,24,0,23,73,35,12,38,97,45,0,33,89,81,0,34,85,72,12,39
Missouri,38.456085,-92.288368,29,MO,151,140,88,61,172,70,89,67,224,55,89,120,189,67,80,162,248,92,78,183,222,66,73,250,203,56,62,210,237,97,54,261,237,109,53,334,237,183,62,303,231,441,41,380,226,618,32,299,231,868,40,351
Montana,46.921925,-110.454353,30,MT,12,0,27,0,25,0,27,0,27,16,26,0,42,21,37,0,33,10,12,0,32,14,20,0,25,13,13,0,43,0,14,0,22,14,16,0,26,0,0,0,12,14,0,0,22,0,0,0,23,11,0,22
Nebraska,41.12537,-98.268082,31,NE,18,0,10,0,23,0,13,0,14,0,10,0,35,11,19,0,33,21,14,0,33,0,18,0,27,10,22,0,33,0,0,0,30,13,0,0,30,13,12,0,22,13,0,0,32,25,0,0,37,26,0,0
Nevada,38.313515,-117.055374,32,NV,174,27,108,36,187,23,124,42,214,27,112,31,256,42,126,22,300,39,99,19,302,45,96,40,305,27,71,45,242,26,70,48,224,32,64,64,259,32,57,82,235,53,53,86,239,66,46,94,212,85,33,108
New Hampshire,43.452492,-71.563896,33,NH,37,14,43,0,54,16,65,0,48,14,21,11,45,22,45,24,61,22,31,13,65,27,31,42,56,24,27,39,62,30,14,67,81,151,29,98,63,285,25,78,69,363,29,34,51,374,15,28,34,386,0,12
New Jersey,40.298904,-74.521011,34,NJ,140,38,72,106,134,33,78,103,124,19,52,116,14,0,0,19,173,35,47,97,220,31,61,131,217,38,68,304,231,57,67,383,245,111,50,424,237,243,55,508,346,689,84,850,424,1376,82,1085,412,2219,122,1287
New Mexico,34.840515,-106.248482,35,NM,165,24,56,21,175,19,52,28,204,22,52,65,119,24,21,48,114,20,29,21,127,20,31,68,179,37,35,104,209,23,28,89,223,66,45,139,160,42,33,156,153,78,41,161,144,75,33,144,133,105,52,130
New York,42.165726,-74.948051,36,NY,281,137,310,111,394,113,295,195,466,121,277,219,455,177,238,251,526,173,263,193,621,155,301,334,616,164,328,516,644,210,274,666,608,294,231,825,705,668,246,1058,892,1641,289,1307,821,2238,283,1356,781,2195,266,1243
North Carolina,35.630066,-79.806419,37,NC,245,105,337,57,304,112,333,50,409,127,301,64,426,169,249,76,428,170,190,39,439,155,204,82,410,141,184,152,397,116,164,189,462,217,131,266,554,300,108,393,611,601,118,544,573,1285,103,537,422,1272,76,619
North Dakota,47.528912,-99.784012,38,ND,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,15,0,0,0,17,15,0,12,18,12,0,0,20,0,0,0
Ohio,40.388783,-82.764915,39,OH,250,128,173,124,284,109,194,156,330,107,182,238,289,91,122,214,516,175,175,355,582,162,163,438,499,139,136,696,518,167,116,998,618,590,107,1208,690,1234,109,1444,785,2296,96,1478,854,3523,106,1000,507,2783,71,721
Oklahoma,35.565342,-96.928917,40,OK,208,45,151,0,284,67,181,0,249,70,114,0,343,160,112,17,341,107,100,0,349,83,75,14,380,107,77,26,375,88,68,22,370,73,67,26,277,93,62,36,285,98,46,53,226,102,31,61,154,79,21,84
Oregon,44.572021,-122.070938,41,OR,122,27,145,60,94,18,138,110,92,22,134,93,127,30,114,117,135,27,105,81,159,29,98,133,145,31,84,129,119,27,66,103,137,33,59,124,150,34,70,102,128,43,46,114,124,85,38,124,123,97,34,154
Pennsylvania,40.590752,-77.209755,42,PA,140,93,98,94,214,83,124,86,260,99,111,158,292,105,103,175,328,98,110,131,325,111,86,240,358,99,87,323,406,108,82,409,411,217,81,503,460,429,89,663,634,1309,113,926,564,1982,64,819,595,2430,118,845
Rhode Island,41.680893,-71.51178,44,RI,33,0,45,10,17,0,29,0,29,13,28,0,26,11,40,0,45,12,25,0,62,0,29,12,72,12,28,30,80,32,28,65,70,82,24,66,95,137,30,45,89,182,29,25,74,201,30,14,58,213,33,24
South Carolina,33.856892,-80.945007,45,SC,115,41,69,0,112,35,59,0,120,41,58,11,126,56,58,19,146,58,73,15,144,47,61,12,148,46,37,19,144,50,50,32,319,110,77,64,322,161,57,100,342,237,56,115,312,404,45,153,330,510,58,183
South Dakota,44.299782,-99.438828,46,SD,18,0,0,0,11,0,0,0,15,0,0,0,19,12,0,0,20,0,0,0,21,0,0,0,17,0,0,0,27,0,0,0,20,0,0,0,10,0,0,0,25,10,0,0,14,14,0,0,0,13,0,0
Tennessee,35.747845,-86.692345,47,TN,221,64,183,0,236,84,159,0,266,98,118,0,342,75,104,21,422,72,127,17,451,64,87,19,491,77,104,50,524,99,86,68,554,132,71,148,643,251,67,205,679,395,83,260,592,590,69,311,500,827,67,369
Texas,31.054487,-97.563461,48,TX,564,111,223,212,515,118,195,214,440,86,173,250,534,166,177,305,540,156,180,260,521,114,179,368,480,121,142,367,452,112,128,369,471,157,116,425,473,186,144,523,501,250,139,530,535,348,129,569,459,358,111,668
Utah,40.150032,-111.862434,49,UT,192,38,109,46,238,33,87,51,227,26,99,68,254,59,66,54,222,50,62,55,280,56,75,73,328,59,53,84,358,58,59,122,367,68,47,110,357,62,45,127,322,72,40,166,290,92,46,147,279,83,40,156
Vermont,44.045876,-72.710686,50,VT,24,15,27,0,28,15,17,0,32,14,17,0,23,0,13,0,27,0,0,0,30,12,13,0,27,0,17,10,37,17,14,20,21,21,0,33,25,33,0,33,23,53,13,45,27,77,14,41,20,106,0,68
