State,Latitude,Longitude,ABB,year_20.10.16,NATURAL20.10.16,SYNTHETIC20.10.16,METHADONE20.10.16,HEROIN20.10.16,year_20.10.17,NATURAL20.10.17,SYNTHETIC20.10.17,METHADONE20.10.17,HEROIN20.10.17,year_20.10.18,NATURAL20.10.18,SYNTHETIC20.10.18,METHADONE20.10.18,HEROIN20.10.18,year_20.10.19,NATURAL20.10.19,SYNTHETIC20.10.19,METHADONE20.10.19,HEROIN20.10.19,year_20.110.1,NATURAL20.110.1,SYNTHETIC20.110.1,METHADONE20.110.1,HEROIN20.110.1,year_20.111,NATURAL20.111,SYNTHETIC20.111,METHADONE20.111,HEROIN20.111,year_20.112,NATURAL20.112,SYNTHETIC20.112,METHADONE20.112,HEROIN20.112,year_20.113,NATURAL20.113,SYNTHETIC20.113,METHADONE20.113,HEROIN20.113,year_20.114,NATURAL20.114,SYNTHETIC20.114,METHADONE20.114,HEROIN20.114,year_20.115,NATURAL20.115,SYNTHETIC20.115,METHADONE20.115,HEROIN20.115,year_20.116,NATURAL20.116,SYNTHETIC20.116,METHADONE20.116,HEROIN20.116,year_20.117,NATURAL20.117,SYNTHETIC20.117,METHADONE20.117,HEROIN20.117,year_20.118,NATURAL20.118,SYNTHETIC20.118,METHADONE20.118,HEROIN20.118
Alabama,32.806671,-86.791130,AL,2.7,49.0,22.0,65.0,0.1,3.6,66.0,21.0,86.0,0.1,4.1,73.0,19.0,10.1,0.1,4.5,92.0,31.0,88.0,12.0,4.1,82.0,34.0,78.0,0.1,3.8,92.0,19.0,63.0,14.0,3.6,62.0,16.0,55.0,35.0,3.5,65.0,30.1,41.0,40.1,5.6,90.1,47.0,44.0,122.0,6.1,87.0,70.1,40.1,111.0,7.5,94.0,157.0,34.0,126.0,9.0,141.0,198.0,30.1,125.0,8.3,126.0,147.0,32.0,137.0
Alaska,61.370716,-152.404419,AK,4.1,14.0,0.1,11.0,0.1,0.1,0.1,0.1,0.1,0.1,12.5,51.0,13.0,30.1,0.1,12.5,60.1,22.0,21.0,0.1,8.7,38.0,10.1,25.0,0.1,8.7,36.0,0.1,17.0,12.0,10.1.8,42.0,0.1,10.1,23.0,9.2,38.0,12.0,0.1,24.0,10.1.6,40.1,14.0,12.0,25.0,11.0,51.0,14.0,10.1,37.0,12.5,45.0,0.1,13.0,49.0,13.9,47.0,37.0,0.1,36.0,8.8,34.0,18.0,0.1,29.0
Arizona,33.729759,-111.431221,AZ,7.8,187.0,54.0,88.0,52.0,7.7,218.0,38.0,81.0,51.0,8.1,255.0,49.0,89.0,63.0,9.8,312.0,55.0,10.2,84.0,9.9,327.0,68.0,10.2,90.1,8.8,313.0,40.1,55.0,117.0,8.2,326.0,36.0,50.1,10.1,8.2,253.0,52.0,64.0,146.0,8.8,290.1,57.0,62.0,197.0,10.1.2,298.0,72.0,75.0,247.0,11.4,326.0,123.0,75.0,299.0,13.5,349.0,267.0,83.0,334.0,15.9,311.0,522.0,62.0,352.0
Arkansas,34.969704,-92.373123,AR,5.1,68.0,31.0,70.1,0.1,5.4,87.0,27.0,63.0,0.1,7.2,110.1,43.0,89.0,0.1,7.2,124.0,59.0,70.1,0.1,6.8,118.0,57.0,56.0,0.1,6.2,114.0,29.0,56.0,0.1,6.0,118.0,20.1,43.0,0.1,5.6,111.0,31.0,42.0,0.1,6.3,119.0,32.0,29.0,0.1,7.2,144.0,44.0,37.0,0.1,5.9,114.0,38.0,32.0,13.0,6.5,116.0,68.0,17.0,15.0,7.4,10.2,92.0,16.0,19.0
California,36.116203,-119.681564,CA,4.1,820.1,154.0,276.0,274.0,4.5,917.0,138.0,312.0,291.0,4.8,10.2,155.0,337.0,325.0,5.2,1147.0,20.1,426.0,352.0,5.0,10.2,20.2,456.0,326.0,5.0,1167.0,164.0,40.2,364.0,4.4,965.0,146.0,342.0,362.0,4.9,10.1,176.0,343.0,486.0,5.0,10.1,194.0,337.0,561.0,4.9,10.1,229.0,291.0,593.0,4.9,955.0,355.0,281.0,587.0,5.3,973.0,536.0,253.0,715.0,5.8,910.1,865.0,234.0,778.0
Colorado,39.059811,-105.311104,CO,6.7,123.0,27.0,62.0,39.0,7.0,185.0,44.0,58.0,39.0,7.0,176.0,39.0,48.0,48.0,7.7,170.1,68.0,57.0,70.1,5.9,135.0,58.0,48.0,46.0,8.0,198.0,78.0,61.0,79.0,7.7,223.0,52.0,43.0,91.0,8.0,221.0,67.0,41.0,120.1,9.4,259.0,80.1,51.0,156.0,8.7,259.0,64.0,34.0,159.0,9.5,212.0,72.0,58.0,234.0,10.1,254.0,112.0,58.0,224.0,9.5,222.0,134.0,55.0,233.0
Connecticut,41.597782,-72.755371,CT,6.4,38.0,11.0,59.0,87.0,7.0,33.0,22.0,57.0,118.0,6.5,38.0,16.0,47.0,10.2,6.2,31.0,20.1,42.0,99.0,6.3,41.0,22.0,43.0,77.0,6.0,44.0,13.0,32.0,85.0,5.7,38.0,15.0,24.0,98.0,12.3,144.0,53.0,49.0,227.0,15.2,157.0,94.0,50.1,299.0,19.2,183.0,211.0,72.0,390.1,24.5,20.2,50.10.1,72.0,450.1,27.7,188.0,686.0,95.0,425.0,27.5,161.0,767.0,76.0,338.0
Delaware,39.318523,-75.507141,DE,4.5,13.0,12.0,13.0,0.1,5.1,12.0,0.1,18.0,10.1,7.7,29.0,0.1,18.0,0.1,9.3,41.0,19.0,21.0,0.1,12.0,47.0,14.0,20.1,16.0,12.6,64.0,13.0,23.0,15.0,9.2,37.0,17.0,11.0,20.1,12.8,35.0,22.0,21.0,39.0,13.9,38.0,29.0,24.0,54.0,14.8,36.0,38.0,14.0,64.0,16.9,31.0,79.0,11.0,56.0,27.8,64.0,178.0,15.0,121.0,39.3,62.0,296.0,24.0,143.0
District of Columbia,38.897438,-77.026817,DC,9.6,14.0,0.1,12.0,0.1,5.2,0.1,0.1,0.1,0.1,5.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.8,0.1,0.1,0.1,16.0,8.0,11.0,0.1,11.0,23.0,7.3,13.0,0.1,0.1,25.0,8.6,10.1,0.1,0.1,35.0,9.4,19.0,13.0,0.1,37.0,14.5,21.0,26.0,0.1,67.0,30.1,52.0,129.0,21.0,122.0,34.7,39.0,182.0,24.0,127.0,26.7,32.0,162.0,10.1,79.0
Florida,27.766279,-81.686783,FL,6.9,583.0,131.0,516.0,87.0,8.2,769.0,137.0,568.0,78.0,8.2,858.0,132.0,463.0,10.2,8.7,10.1,171.0,471.0,96.0,9.1,1169.0,146.0,439.0,51.0,8.4,10.2,138.0,458.0,62.0,6.9,850.1,162.0,337.0,10.1,6.6,751.0,20.10.1,271.0,181.0,7.2,697.0,343.0,227.0,344.0,9.4,789.0,610.1,210.1,567.0,14.4,10.130.1,1566.0,20.1,669.0,16.3,1133.0,2126.0,175.0,70.2,15.8,1150.1,20.2,187.0,689.0
